SECOL,REZULTAT
3 AD,"1. Atacurile carpilor ?i ale dacilor liberi (anii 214–248)Dacii liberi (în special carpii din zona Moldovei de azi ?i costobocii) au profitat de sl?birea Romei ?i au atacat în mod repetat garnizoanele romane din Dacia ?i Moesia (Dobrogea ?i Bulgaria de azi).R?zboiul din timpul lui Maximin Tracul (236–238): Împ?ratul roman vine personal pe linia Dun?rii ?i în Dacia pentru a respinge atacurile violente ale carpilor ?i ale sarmatilor iazigi.Invazia din 245–247: Carpii au declan?at o ofensiv? masiv?, distrugând fortifica?iile romane de pe Limes Transalutanus (linia defensiv? din Muntenia). Împ?ratul Filip Arabul a fost nevoit s? vin? în Dacia pentru a purta lupte grele. De?i i-a învins ?i a primit titlul de Carpicus Maximus, romanii au evacuat definitiv aceast? linie defensiv?, retr?gându-se la vest de râul Olt.2. Marile invazii ale go?ilor ?i coali?iilor barbare (anii 248–270)Mijlocul secolului al III-lea aduce în regiune un nou ?i formidabil inamic: go?ii. Ace?tia au realizat vaste confedera?ii de triburi germane ?i dacice, atacând pe dou? fronturi majore (teritoriul intracarpatic ?i Dobrogea).Asediul Sarmizegetusei (cca. 248–249): O uria?? armat? confederat? format? din go?i, carpi, taifali ?i bastarni a trecut Prutul ?i Nistrul. Un corp de oaste a p?truns adânc în Transilvania, asediind ?i provocând mari distrugeri capitalei provinciei, Ulpia Traiana Sarmizegetusa.R?zboaiele Scitice în Dobrogea (Scythia Minor): Dobrogea de ast?zi a fost devastat? prin atacuri maritime ?i terestre organizate de go?i ?i heruli. Ora?e înfloritoare precum Histria, Tomis (Constan?a) ?i Callatis (Mangalia) au fost asediate sau distruse par?ial în repetate rânduri.B?t?lia de la Naissus (269): De?i s-a dat la sud de Dun?re (în Serbia de azi), aceast? mare victorie a împ?ratului Claudius al II-lea (Gothicus) împotriva unei coali?ii de peste 300.000 de go?i ?i heruli a salvat temporar ?i provinciile de pe teritoriul României de la o distrugere complet?.3. Conflictul final ?i Retragerea Aurelian? (271–275)Împ?ratul Aurelian a reu?it s? ob?in? ultimele victorii de r?sunet împotriva carpilor ?i go?ilor la nord de Dun?re în anul 271.Cu toate acestea, realizând c? provincia Dacia era mult prea expus?, m?cinat? de decenii de r?zboaie ?i imposibil de ap?rat pe termen lung, a luat decizia strategic? de a ordona Retragerea Aurelian? (271–275 d.Hr.).Armata roman? ?i administra?ia au p?r?sit definitiv teritoriul de la nord de Dun?re, mutând grani?a Imperiului pe fluviu. Fosta provincie a fost ocupat? treptat de vizigo?i, carpi ?i taifali."
4 AD,"1. Campaniile lui Constantin cel Mare la nord de Dun?re (315–332)Dup? retragerea aurelian? din Dacia, romanii au p?strat capete de pod la nordul fluviului. Împ?ratul Constantin cel Mare a declan?at o serie de ofensive majore pentru a-?i securiza frontiera ?i a pedepsi triburile migratoare:Campaniile împotriva go?ilor ?i carpilor (315–323): Armata roman? trece Dun?rea ?i poart? lupte grele în Oltenia ?i Muntenia actual?, respingând atacurile acestor popula?ii.R?zboiul sarmatic ?i gotic din 332: Constantin cel Mare ob?ine o victorie zdrobitoare împotriva go?ilor (tervingi) în bazinele râurilor Mure? ?i Olt. În urma acestui conflict, go?ii semneaz? un tratat de pace (foedus), devenind alia?i (foederati) ai Romei ?i asigurând o perioad? de lini?te la frontier?.2. R?zboaiele împ?ratului Valens împotriva go?ilor (367–369)Pacea a fost înc?lcat? când go?ii de la nord de Dun?re au sprijinit un pretendent la tronul imperial. Împ?ratul roman de R?s?rit, Valens, a organizat expedi?ii punitive masive în spa?iul nord-dun?rean:Campania din 367: Armata roman? trece Dun?rea pe un pod de vase pe la Daphne (lâng? Olteni?a) ?i devasteaz? teritoriile tervingilor, dar ace?tia se retrag în Mun?ii Carpa?i (probabil în Buz?u/Vrancea) pentru a evita o b?t?lie decisiv?.Campania din 369: Valens atac? din nou, traversând pe la Noviodunum (Isaccea, în Dobrogea). Romanii ob?in o serie de victorii locale împotriva r?zboinicilor condu?i de Athanaric, judec?torul suprem al go?ilor. Conflictul se încheie în toamna anului 369 prin faimosul tratat de pace semnat de Valens ?i Athanaric direct pe o corabie, la mijlocul Dun?rii.3. R?zboiul civil gotic ?i invazia hunilor (cca. 370–376)Ultima parte a secolului a adus o destabilizare sângeroas? în interiorul teritoriului actual al României, marcat? de schimb?ri geopolitice majore:R?zboiul civil dintre Athanaric ?i Fritigern (cca. 370–375): În rândul vizigo?ilor a izbucnit un conflict intern violent. Fritigern, liderul fac?iunii convertite la cre?tinismul arian, s-a r?zboit cu p?gânul Athanaric pentru conducerea triburilor din Câmpia Român?. Fritigern a primit ajutor militar de la romani din sudul Dun?rii, m?cinând for?ele lui Athanaric.Invazia hunilor (376): Un nou inamic nomad din stepele asiatice, hunii, atac? violent st?pânirile gotice de la est ?i nord de Carpa?i. Athanaric încearc? s? organizeze o linie de ap?rare fortificat? pe aliniamentul râului Prut sau Siret (atribuit? uneori valurilor de p?mânt istorice din Moldova), dar este înfrânt rapid.Urmarea direct?: Panica?i de brutalitatea hunilor, sute de mii de go?i condu?i de Fritigern s-au refugiat în anul 376 la grani?a Dun?rii, cerând azil în Imperiul Roman (eveniment ce va duce la faimoasa B?t?lie de la Adrianopol din 378). Athanaric s-a retras temporar cu o mic? armat? în Caucaland (regiunea muntoas? a Carpa?ilor Orientali/Transilvania), înainte de a fugi ?i el definitiv la Constantinopol."
5 AD,"1. Expansiunea ?i domina?ia Hunilor (pân? în 453)La începutul secolului al V-lea, hunii î?i stabilesc centrul puterii în Câmpia Panonic? ?i controleaz? militar teritorii vaste, inclusiv Banatul, Cri?ana, Transilvania ?i Muntenia.Campaniile lui Attila la Dun?re: Sub conducerea lui Attila (434–453), hunii au lansat atacuri devastatoare asupra provinciilor Imperiului Roman de R?s?rit de-a lungul Dun?rii (linia Moesia ?i Dobrogea de ast?zi). Ora?e fortificate importante din Dobrogea (Scythia Minor) au fost asediate, jefuite sau par?ial distruse în anii 441–447 pentru a for?a Constantinopolul s? pl?teasc? subsidii uria?e.2. B?t?lia de la râul Nedao (454) ?i revolta gepizilorImediat dup? moartea lui Attila în 453, imperiul hun s-a destr?mat în urma unei revolte masive a popoarelor germanice vasale, conduse de gepizi.Conflictul: B?t?lia decisiv? a avut loc în anul 454 (localizat? istoric pe un afluent al Dun?rii sau în zona panonico-b?n??ean?). Ardaric, regele gepizilor, i-a învins pe fiii lui Attila.Urm?rile pe teritoriul României: În urma acestei victorii militare, gepizii au preluat controlul teritorial asupra Transilvaniei ?i Banatului, instalându-?i aici nucleul regatului lor (Regatul Gepid).3. Conflictele Ostrogo?ilor ?i stabilirea în regiuneOstrogo?ii, un alt neam germanic eliberat de sub huni, s-au aflat în dispute teritoriale constante cu gepizii ?i cu Imperiul Roman de R?s?rit.Timp de câteva decenii în a doua jum?tate a secolului al V-lea, grupuri masive de ostrogo?i (inclusiv sub conducerea lui Teodoric cel Mare, înainte de a pleca spre Italia) au controlat sau au atacat regiuni din vestul ?i sudul României actuale, generând ciocniri locale frecvente cu gepizii pentru rutele de jaf ?i p??unat.4. Conflictele de pe Limesul Dun?rean (Scythia Minor / Dobrogea)Spre deosebire de restul ??rii, unde administra?ia roman? fusese abandonat?, Dobrogea a r?mas sub controlul Imperiului Roman de R?s?rit (Bizantin).Regiunea a fost o zon? permanent? de r?zboi defensiv. Trupele romano-bizantine au respins valuri succesive de atacatori migratori (r?m??i?e de huni, uzi, sciri, heruli ?i primele incursiuni proto-bulgare de la sfâr?itul secolului). Fortifica?iile de pe Dun?re (precum cele de la Capidava, Histria sau Dinogetia) au fost frecvent atacate ?i reconstruite în aceast? perioad?."
6 AD,"1. Incursiunile slabe ?i proto-bulgare la Dun?re (Prima jum?tate a sec. VI)Context: Începând cu domnia lui Iustin I ?i atingând apogeul sub Iustinian I (527–565), triburile slave (Antii ?i Sclavenii) al?turi de popula?ii turanice (anticii bulgari sau kutriguri) atac? sistematic linia Dun?rii.Conflictele: Teritoriul Munteniei, Olteniei ?i Dobrogei actuale a fost transformat în zon? de r?zboi. Generalul bizantin Chilbudios, numit comandant al Thraciei în 530, a trecut de mai multe ori la nord de Dun?re (pe teritoriul de azi al României) pentru a purta lupte de represalii directe în a?ez?rile slabe, pân? când a fost învins ?i ucis în lupt? (aproximativ în anul 533).Urm?ri: Pentru a opri aceste atacuri, Iustinian reconstruie?te masiv fort?re?ele de pe malul românesc al Dun?rii, precum Lederata, Sucidava (Celei) ?i Drobeta.2. R?zboiul gepido-lombard ?i ascensiunea avarilor (Anul 567)Context: În interiorul arcului carpatic, în Transilvania ?i în Banat, era consolidat Regatul Gepizilor (popula?ie germanic?).Conflictul: În anul 567, are loc un conflict militar major cu consecin?e europene. Conduc?torul longobard Alboin se aliaz? cu Kaganatul Avar (condu?i de Kaganul Baian) pentru a-i distruge pe gepizi.Urm?ri: Gepizii sunt zdrobi?i militar pe teritoriul Transilvaniei ?i al Panoniei. Locul lor este luat de avari, care devin cea mai mare for?? militar? din regiune, controlând politic teritoriile intracarpatice ?i cele din vestul României de ast?zi.3. R?zboaiele bizantino-avare ?i invaziile din Dobrogea (A doua jum?tate a sec. VI)Context: Avarii, alia?i adesea cu slavii, î?i îndreapt? atacurile spre Imperiul Bizantin. Dobrogea devine una dintre principalele por?i de invazie.Conflictele: În anii 580–587, avarii ?i slavii asediaz? ?i distrug par?ial marile ora?e fortificate din Dobrogea de ast?zi (Durostorum, Tropaeum Traiani, Histria, Tomis, Dinogetia).Campaniile împ?ratului Mauriciu (591–602): Împ?ratul bizantin Mauriciu refuz? s? mai pl?teasc? tribut avarilor ?i mut? r?zboiul la nord de Dun?re. Generalii s?i, Priscus ?i Petru (fratele împ?ratului), trec fluviul în zona Munteniei ?i Dobrogei, ob?inând victorii militare importante împotriva slaviilor ?i avarilor chiar pe teritoriul actual al României (de exemplu, b?t?liile din zona râului Ialomi?a sau în apropiere de Dun?re în anii 593 ?i 601–602).Consecin?a final? (Anul 602)În toamna anului 602, armata bizantin? cantonat? la Dun?re prime?te ordinul de a ierna la nord de fluviu, în teritoriul inamic (pe p?mânt românesc). Solda?ii se revolt?, condu?i de centurionul Phocas, p?r?sesc frontiera ?i pornesc spre Constantinopol pentru a-l detrona pe împ?rat. Acest eveniment marcheaz? pr?bu?irea ireversibil? a limesului dun?rean, deschizând calea a?ez?rii masive a slavilor în Peninsula Balcanic? ?i modificând definitiv harta etnic? a regiunii."
7 AD,"1. Pr?bu?irea Limesului Dun?rean ?i invaziile avaro-slave (602 – 626)Contextul: În anul 602, armata bizantin? de la Dun?re s-a r?sculat împotriva împ?ratului Mauriciu, p?r?sind grani?a. Acest eveniment a l?sat Dobrogea ?i restul teritoriului complet expuse.Desf??urarea: În primele decenii ale secolului VII, Avarii (centra?i în Câmpia Panonic?) ?i Slavii (stabili?i în num?r mare pe teritoriul de la nord de Dun?re, inclusiv în Moldova, Muntenia ?i Transilvania) au declan?at atacuri devastatoare.Impactul pe teritoriul românesc: Fort?re?ele romano-bizantine din Dobrogea (cum ar fi Histria, Tomis, Dinogetia sau Tropaeum Traiani) au suferit asedii ?i distrugeri violente. Multe dintre ele au fost definitiv abandonate sau ruralizate în primele decenii ale secolului VII. Teritoriul României a servit drept baz? de opera?iuni ?i coridor de trecere pentru atacurile avaro-slave masive care au culminat cu Asediul Constantinopolului din 626.2. Dislocarea puterii Avarilor ?i conflictele interne (dup? 626)Dup? e?ecul asediului din 626 de la Constantinopol, autoritatea Hanatului Avar s-a cl?tinat.Pe teritoriul Transilvaniei ?i în zonele de vest ale României, au avut loc conflicte de uzur? între avari ?i triburile slave sau popula?iile locale care încercau s? scape de sub hegemonia nomad?. Arheologia atest? în Transilvania distrugeri ?i schimb?ri de culturi materiale specifice acestei perioade de instabilitate politic?.3. Apari?ia Bulgarilor ?i B?t?lia de la Ongal (680)Contextul: În a doua jum?tate a secolului VII, triburile protobulgarilor, conduse de hanul Asparuh, au migrat din nordul Marii Negre spre gurile Dun?rii (zona Deltei Dun?rii ?i a Basarabiei istorice).B?t?lia de la Ongal (680): Împ?ratul bizantin Constantin al IV-lea a organizat o expedi?ie militar? masiv? pe ap? ?i pe uscat pentru a-i neutraliza. Confruntarea a avut loc în zona fortificat? Ongal (localizat? de istorici în arealul Deltei Dun?rii / nordul Dobrogei / sudul Basarabiei). Bulgarii, folosind tactici defensive în zonele ml??tinoase, au zdrobit armata bizantin?.Consecin?e: În urma acestei victorii militare ob?inute direct pe/lâng? teritoriul românesc, bulgarii au trecut Dun?rea, au cucerit teritorii bizantine ?i au pus bazele Primului Imperiu Bulgar (681), controlând pentru o perioad? ?i zonele de câmpie de la nord de Dun?re (Muntenia ?i sudul Moldovei).4. Rezisten?a ?i adaptarea comunit??ilor locale (Daco-Romanii)Popula?ia autohton? nu dispunea de o armat? centralizat?, fiind organizat? în comunit??i locale (obstii s?te?ti, primele forme de „romanii” populare).Conflictele acestora cu migratorii au fost preponderent de autoap?rare local?. Localnicii s-au retras frecvent în zonele muntoase ?i împ?durite ale Carpa?ilor pentru a evita rutele de invazie, generând un amestec etno-cultural complex cu slavii r?ma?i la nord de Dun?re, proces ce a dus la definitivarea etnogenezei române?ti"
8 AD,"1. Extinderea Hanatului Bulgar ?i conflictele bizantino-bulgare (Dobrogea ?i Sudul ??rii)La sfâr?itul secolului al VII-lea (anul 681), proto-bulgarii condu?i de hanul Asparuh s-au stabilit la sud de Dun?re, punând bazele Primului Hanat Bulgar.Controlul asupra Dobrogei ?i Munteniei: În secolul al VIII-lea, Dobrogea ?i regiunile de câmpie din stânga Dun?rii au devenit teatre de opera?iuni ?i zone de dispute militare între bulgari ?i bizantini. Hanul Tervel (700–721) a consolidat grani?ele statului.Campaniile împ?ratului Constantin al V-lea (741–775): Acesta a organizat nu mai pu?in de nou? campanii militare împotriva bulgarilor. Multe dintre aceste înfrunt?ri s-au desf??urat în zona Dun?rii de Jos (inclusiv Dobrogea), flotele bizantine navigând pe Dun?re ?i pe mare pentru a ataca taberele bulgare ?i aliate (slavi). Un exemplu marcant este B?t?lia de la Anchialos (763), care de?i s-a dat mai la sud, a reconfigurat controlul militar din întreaga regiune pontic? ?i dobrogean?.2. Domina?ia ?i declinul Kaganatului Avar (Transilvania ?i Banat)În vestul ?i centrul României de ast?zi (Transilvania, Banat, Cri?ana), secolul al VIII-lea a coincis cu perioada târzie a Kaganatului Avar.Conflictele de frontier?: Avarii controlau politic popula?ia sedentar? (slavi ?i comunit??i romanice/protoromâne). În aceast? perioad? au existat numeroase ciocniri de intensitate mic? ?i medie la grani?ele kaganatului.Presiunea franc? ?i distrugerea Kaganatului: De?i campaniile decisive ale lui Carol cel Mare (Carol Magni) au avut loc la sfâr?itul secolului al VIII-lea (începând cu 791) ?i începutul secolului al IX-lea, destabilizarea intern? a avarilor din cauza r?zboaielor civile ?i a presiunilor externe a generat conflicte violente care au cuprins ?i vestul Transilvaniei sau Banatul, ducând la pr?bu?irea puterii avare ?i deschiderea teritoriului c?tre expansiunea bulgar? de mai târziu.3. Conflictele de asimilare ?i ap?rare ale comunit??ilor locale (S?r?turile arheologice)Din punct de vedere arheologic, secolul al VIII-lea pe teritoriul României este definit de culturi precum Ipote?ti-Cânde?ti sau Dridu (care începe s? se contureze spre finalul secolului).Popula?ia local? protoromân? (atestat? prin a?ez?ri rurale ?i cultur? material? specific?) se afla adesea prins? la mijloc în incursiunile de prad? ale triburilor slave ?i nomade.Lipsa unor izvoare scrise detaliate („veacurile întunecate” ale istoriografiei) face ca b?t?liile purtate de liderii locali (cnezi sau juzi timpurii) s? nu fie consemnate cu nume proprii de cronicari, îns? descoperirile de arme, fortifica?ii de p?mânt (palisade) ?i a?ez?ri incendiate din aceast? epoc? demonstreaz? o stare de conflict endemic defensiv.Rezumatul h?r?ii militare din sec. VIII:RegiuneaPrincipalii actori militariTipul de conflictDobrogea & Oltenia/MunteniaBulgari vs. Imperiul BizantinR?zboaie teritoriale pentru controlul Dun?riiTransilvania & BanatAvari vs. Slavi/Popula?ii localeConflicte de supunere ?i fragmentare politic?MoldovaTriburi slave (Ante/Sclaveni) & Khazari (presiune din est)Incursione de migra?ie ?i extindere a sferelor de influen??"
9 AD,"1. Confrunt?rile cu migratorii maghiari (sfâr?itul secolului al IX-lea)La sfâr?itul secolului al IX-lea (în jurul anului 896), triburile maghiare p?trund în Bazinul Carpatic. Cronica medieval? Gesta Hungarorum (Faptele ungurilor) men?ioneaz? rezisten?a armat? a primelor forma?iuni politice române?ti:Voievodatul lui Gelu (Transilvania central?): Gelu, numit „duce al românilor” (dux Blachorum), a refuzat s? cedeze p?mânturile. Acesta a purtat b?t?lii violente împotriva c?peteniei maghiare Tuhutum, fiind în cele din urm? înfrânt ?i ucis lâng? râul C?pu?.Voievodatul lui Menumorut (Cri?ana): O?tile lui Menumorut au înfruntat trupele trimise de liderul Árpád. Conflictul s-a concentrat în jurul asediului cet??ii Biharea. Menumorut a rezistat ini?ial, stabilind ulterior o pace prin alian?? dinastic?.Voievodatul lui Glad (Banat): Glad a condus o armat? format? din vlahi, slavi ?i bulgari împotriva invadatorilor. Luptele principale s-au dat la vadurile râurilor Mure? ?i Timi?.2. Conflictele legate de Primul Imperiu BulgarLa începutul ?i mijlocul secolului al IX-lea, hanul bulgar Krum ?i succesorul s?u, Omurtag, î?i extind autoritatea la nord de Dun?re:Revolta triburilor locale: În anul 824, Analele Regale Franceze noteaz? c? triburile din Dacia dun?rean? (precum obotri?ii/praedenecen?ii) s-au ridicat la lupt? ?i au c?utat alian?e externe (cu Imperiul Carolingian) pentru a sc?pa de sub suzeranitatea bulgar?.Luptele pentru resurse: Sudul Transilvaniei ?i Banatul au fost zone de conflict armat direct din cauza controlului asupra minelor de sare ?i aur, disputate între bulgari ?i structurile locale.3. Invaziile pecenegilor în est ?i sudÎn a doua jum?tate a secolului al IX-lea, regiunile din afara arcului carpatic (Moldova ?i Muntenia de ast?zi) devin teatre de r?zboi din cauza pecenegilor:Dislocarea maghiarilor din Etelköz: Pecenegii lanseaz? atacuri devastatoare în spa?iul dintre Nistru, Prut ?i Siret.Presiunea asupra popula?iei autohtone: Aceste incursiuni de prad? au generat conflicte locale sângeroase cu comunit??ile sedentare din regiune, for?ând mut?ri de popula?ii ?i fortificarea a?ez?rilor."
10 AD,"1. Cucerirea forma?iunilor politice (ducate/voievodate) din Transilvania ?i BanatLa începutul secolului al X-lea, triburile maghiare a?ezate în Panonia au început atacurile spre est, intrând în conflict cu liderii locali men?iona?i în Gesta Hungarorum:Conflictul cu Voievodatul lui Glad (Banat): Glad, care conducea un teritoriu între Dun?re, Mure? ?i Tisa, a opus rezisten?? armatei maghiare conduse de c?peteniile Zuard, Cadusa ?i Glad (nepotul lui Tuhutum). Glad a strâns o armat? format? din români, bulgari ?i pecenegi, îns? a fost învins în b?t?lia de pe râul Timi?. Ulterior, el a fost nevoit s? cear? pace ?i s? accepte o form? de suzeranitate.Conflictul cu Voievodatul lui Gelu (Transilvania propriu-zis?): Tuhutum, o alt? c?petenie maghiar?, a atacat teritoriul condus de „Gelu, un anumit român” (Gelou quidam Blacus). Armata lui Gelu, slab echipat?, a fost învins? în b?t?lia de pe râul Alma? (în jude?ul S?laj de ast?zi). Gelu a încercat s? se retrag? spre fort?rea?a sa de pe Some? (probabil D?bâca), dar a fost prins ?i ucis de c?l?re?ii maghiari.Conflictul cu Voievodatul lui Menumorut (Cri?ana): Menumorut, care st?pânea teritoriul dintre Mure? ?i Some?, având centrul la cetatea Biharia, a respins ini?ial cererile de supunere ale maghiarilor. Cet??ile sale (S?cueni, Satu Mare) au fost asediate. Dup? un asediu de 13 zile asupra cet??ii Biharia, Menumorut a fost nevoit s? accepte pacea, oferindu-?i fiica în c?s?torie fiului liderului maghiar Árpád.2. R?zboaiele bizantino-ruse ?i bizantino-bulgare la Dun?rea de Jos (Dobrogea)În a doua jum?tate a secolului al X-lea, Dobrogea ?i gurile Dun?rii au devenit un teatru de r?zboi sângeros între marile puteri ale epocii:Invazia cneazului Sviatoslav I al Kievului (968–971): Împ?ratul bizantin Nichifor al II-lea Focas l-a pl?tit pe cneazul rus Sviatoslav s? atace ?aratul Bulgar. Sviatoslav a invadat teritoriul de la Dun?re, cucerind numeroase cet??i (inclusiv Pereiaslave?, identificat probabil cu Nuf?ru sau?? Tulcea) ?i decizând s? î?i mute capitala acolo.Campania împ?ratului Ioan I Tzimiskes (971): Realizând pericolul unei prezen?e ruse?ti masive la Dun?re, noul împ?rat bizantin a pornit o contraofensiv? fulger?toare. Armata bizantin? a asediat cetatea Dristor (Silistra, la grani?a actual? a României) unde se refugiase Sviatoslav. Dup? lupte grele pe uscat ?i pe Dun?re (unde bizantinii au folosit focul grecesc), ru?ii au fost învin?i ?i s-au retras, iar Dobrogea a reintrat sub controlul direct al Imperiului Bizantin, fiind organizat? sub forma Themei Mesopotamia Apusului.3. Raidurile nomade (Pecenegii ?i Ungurii)Atacurile pecenegilor: În secolul al X-lea, pecenegii (un popor nomad turcic) s-au stabilit în stepele din nordul M?rii Negre ?i în regiunile extracarpatice (Moldova ?i Muntenegru de ast?zi). Ace?tia au întreprins numeroase expedi?ii de jaf ?i conflicte de frontier? atât împotriva bulgarilor ?i bizantinilor, cât ?i împotriva popula?iilor locale române?ti. De multe ori, pecenegii au fost folosi?i ca mercenari în conflictele dintre cnezi sau ?ari."
11 AD,"1. Expansiunea maghiar? ?i rezisten?a voievodatelor din Transilvania ?i BanatLa începutul secolului, Regatul Ungariei î?i extinde autoritatea la est de Tisa prin eliminarea forma?iunilor politice locale:Campania împotriva lui Gyula al III-lea (1003): Regele ?tefan I al Ungariei atac? voievodatul condus de Gyula (Iuliu cel Tân?r) cu centrul la Alba Iulia. Gyula este luat prizonier, iar teritoriul s?u este anexat.R?zboiul împotriva lui Ahtum (aprox. 1003–1028): Regele ?tefan I trimite o armat? condus? de generalul Csanád împotriva voievodatului lui Ahtum din Banat. Ahtum este ucis în lupt?, iar re?edin?a sa de la Morisena este cucerit?.2. Invaziile nomade în arcul carpaticB?t?lia de la Chirale? (1068): Reprezint? una dintre cele mai r?sun?toare ciocniri militare din Transilvania medieval? timpurie. O armat? mare de pecenegi ?i uzi p?trunde în Transilvania ?i Bihor pentru jaf. La întoarcere, migratorii sunt prin?i ?i zdrobi?i complet în apropierea localit??ii Chirale? (azi în jude?ul Bistri?a-N?s?ud) de trupele regelui Solomon ?i ale prin?ilor Géza ?i Ladislau.3. Conflictele bizantino-nomade ?i mi?c?rile autonomiste din DobrogeaDobrogea, organizat? de Imperiul Bizantin sub forma temei Paristrion (Paradunavon), devine un teatru de r?zboi permanent:Marea invazie a pecenegilor (1048): Peste 80.000 de pecenegi condu?i de hanul Tyrah trec Dun?rea înghe?at?, declan?ând un conflict devastator cu garnizoanele bizantine ?i cu fac?iunea rival? a pecenegului Kegen. Bizan?ul este obligat s? le permit? a?ezarea în zon?.Revolta conduc?torilor locali (anii 1070–1080): Popula?ia din Dobrogea (un amestec de români, pecenegi asimila?i ?i bulgari) se r?scoal? împotriva abuzurilor fiscale ale Constantinopolului. Sunt atesta?i trei conduc?tori locali care preiau controlul unor fort?re?e dun?rene ?i duc lupte cu bizantinii: Tatos (la Silistra), Sestlav (la Vicina) ?i Sa?a. Confrunt?rile se încheie abia spre sfâr?itul secolului, când împ?ratul Alexie I Comnen restabile?te autoritatea imperial?."
12 AD,"Cucerirea ?i consolidarea st?pânirii maghiare în TransilvaniaAvansul spre interiorul arcului carpatic: Regatul Ungariei î?i extinde treptat controlul militar spre estul ?i sudul Transilvaniei. Pentru a-?i securiza noile frontiere în fa?a nomazilor, regii maghiari folosesc fortifica?ii de p?mânt ?i lemn ?i încep colonizarea secuilor ?i a sa?ilor.Rezisten?a local?: Procesul de cucerire a întâmpinat rezisten?? din partea forma?iunilor politice locale (bannate, cnezate ?i voievodate române?ti sau enclave pecenego-cumane), obligând coroana maghiar? s? men?in? o prezen?? militar? constant?.Invaziile cumanilor ?i pecenegilorRaidurile de prad?: Cumanii, a?eza?i în zonele de câmpie de la sud ?i est de Carpa?i (Muntenia ?i Moldova de azi), au lansat atacuri repetate peste mun?i în Transilvania ?i peste Dun?re în Imperiul Bizantin.B?t?liile de frontier?: Zonele montane ?i trec?torile Carpa?ilor au fost teatrul unor h?r?uieli constante între garnizoanele maghiare/secuie?ti ?i c?l?re?ii nomazi.Conflictele bizantino-maghiare la Dun?reCampaniile din zona Banatului ?i Dobrogei: Dun?rea a reprezentat o linie de front fierbinte între Regatul Ungariei ?i Imperiul Bizantin.R?zboiul din 1127–1129: Regele ?tefan al II-lea al Ungariei a atacat Imperiul Bizantin, distrugând Belgradul ?i Brani?evo. Bizantinii au r?spuns printr-o contraofensiv? puternic?, controlând militar pentru scurt timp zone de la Dun?rea de Jos ?i din Banat.Campaniile împ?ratului Manuel I Comnen (1151–1156): Împ?ratul bizantin a condus expedi?ii militare în regiunea Dun?rii de Mijloc ?i de Jos pentru a pedepsi incursiunile maghiare ?i pentru a-?i securiza grani?a nordic?, transformând regiunile de frontier? (inclusiv p?r?i din Banat ?i Dobrogea) în zone de r?zboi active.R?scoala As?ne?tilor ?i implicarea la nord de Dun?re (1185)Baza de opera?iuni din Muntenia: În secolul al XII-lea, Dobrogea era sub st?pânire bizantin?, iar teritoriul de la nord de Dun?re era controlat par?ial de vlahi (români) ?i cumani.Sprijinul militar: În timpul revoltei fra?ilor Petru ?i Asan împotriva Bizan?ului (care a dus la crearea Imperiului Vlaho-Bulgar), teritoriul de la nord de Dun?re (Muntenia de azi) a servit ca loc de refugiu ?i baz? de recrutare pentru armatele de vlahi ?i cumani, care treceau fluviul pentru a ataca garnizoanele bizantine."
